# BEGIN PLOT
LogY=1
Title=$\langle p_\perp \rangle$ vs. multiplicity at $\sqrt{s} = 1800~\text{GeV}$, $|\eta| < 1$, $p_T > 0.4~\text{GeV}$
XLabel=$N_\text{ch}$
YLabel=$\langle p_T \rangle$
# END PLOT

# BEGIN HISTOGRAM /REF/CDF_2002_S4796047/d04-x01-y01
AidaPath=/REF/CDF_2002_S4796047/d04-x01-y01
Title=$\langle p_\perp \rangle$ vs. multiplicity at $\sqrt{s} = 1800~\text{GeV}$, $|\eta| < 1$, $p_T > 0.4~\text{GeV}$
XLabel=$N_\text{ch}$
YLabel=$\langle p_T \rangle$
PolyMarker=*
ErrorBars=1
## Area: 2.201102e+01
## Num bins: 25
## xlow  	xhigh   	val    	errminus	errplus
5.000000e-01 1. 1.500000e+00 6.986840e-01 4.688000e-03 5.674000e-03
1.500000e+00 2. 2.500000e+00 7.218750e-01 5.181000e-03 6.168000e-03
2.500000e+00 3. 3.500000e+00 7.470390e-01 6.168000e-03 6.661000e-03
3.500000e+00 4. 4.500000e+00 7.736840e-01 5.674000e-03 5.674000e-03
4.500000e+00 5. 5.500000e+00 7.953950e-01 6.168000e-03 6.168000e-03
5.500000e+00 6. 6.500000e+00 8.136510e-01 6.168000e-03 5.674000e-03
6.500000e+00 7. 7.500000e+00 8.299340e-01 6.168000e-03 6.661000e-03
7.500000e+00 8. 8.500000e+00 8.442430e-01 6.168000e-03 6.661000e-03
8.500000e+00 9. 9.500000e+00 8.570720e-01 5.674000e-03 6.661000e-03
9.500000e+00 10. 1.050000e+01 8.664470e-01 6.168000e-03 5.674000e-03
1.050000e+01 11. 1.150000e+01 8.773030e-01 5.674000e-03 6.168000e-03
1.150000e+01 12. 1.250000e+01 8.881580e-01 6.168000e-03 6.168000e-03
1.250000e+01 13. 1.350000e+01 8.975330e-01 6.661000e-03 6.168000e-03
1.350000e+01 14. 1.450000e+01 9.064140e-01 6.168000e-03 6.168000e-03
1.450000e+01 15. 1.550000e+01 9.143090e-01 6.168000e-03 6.661000e-03
1.550000e+01 16. 1.650000e+01 9.207240e-01 6.661000e-03 6.168000e-03
1.650000e+01 17. 1.750000e+01 9.310860e-01 6.661000e-03 6.661000e-03
1.750000e+01 18. 1.850000e+01 9.389800e-01 6.661000e-03 7.155000e-03
1.850000e+01 19. 1.950000e+01 9.473680e-01 8.635000e-03 8.635000e-03
1.950000e+01 20. 2.050000e+01 9.557570e-01 1.011500e-02 9.622000e-03
2.050000e+01 21. 2.150000e+01 9.621710e-01 1.011500e-02 1.110200e-02
2.150000e+01 22. 2.250000e+01 9.695720e-01 1.258200e-02 1.258200e-02
2.250000e+01 23. 2.350000e+01 9.735200e-01 1.406300e-02 1.406300e-02
2.350000e+01 24. 2.450000e+01 9.819080e-01 1.653000e-02 1.653000e-02
2.450000e+01 25. 2.550000e+01 9.981910e-01 1.949000e-02 2.047700e-02
# END HISTOGRAM

