# BEGIN PLOT
LogY=1
Title=Charged multiplicity at $\sqrt{s} = 1800~\text{GeV}$, $|\eta| < 1$, $p_T > 0.4~\text{GeV}$
XLabel=$N_\text{ch}$
YLabel=$\mathrm{d}{\sigma}/\mathrm{d}{n_\text{ch}}$
# END PLOT

# BEGIN HISTOGRAM /REF/CDF_2002_S4796047/d02-x01-y01
AidaPath=/REF/CDF_2002_S4796047/d02-x01-y01
Title=Charged multiplicity at $\sqrt{s} = 1800~\text{GeV}$, $|\eta| < 1$, $p_T > 0.4~\text{GeV}$
XLabel=$N_\text{ch}$
YLabel=$\mathrm{d}{\sigma}/\mathrm{d}{n_\text{ch}}$
PolyMarker=*
ErrorBars=1
## Area: 4.191032e+00
## Num bins: 34
## xlow  	xhigh   	val    	errminus	errplus
-5.000000e-01 0. 5.000000e-01 5.094309e-01 2.378308e-02 2.378308e-02
5.000000e-01 1. 1.500000e+00 6.612242e-01 4.932360e-03 4.932360e-03
1.500000e+00 2. 2.500000e+00 6.270129e-01 2.974380e-03 2.974380e-03
2.500000e+00 3. 3.500000e+00 5.141227e-01 1.546410e-03 1.546410e-03
3.500000e+00 4. 4.500000e+00 4.068182e-01 2.562420e-03 2.562420e-03
4.500000e+00 5. 5.500000e+00 3.188148e-01 2.451140e-03 2.451140e-03
5.500000e+00 6. 6.500000e+00 2.504036e-01 1.293200e-03 1.293200e-03
6.500000e+00 7. 7.500000e+00 1.986945e-01 1.720840e-03 1.720840e-03
7.500000e+00 8. 8.500000e+00 1.562625e-01 1.489770e-03 1.489770e-03
8.500000e+00 9. 9.500000e+00 1.231112e-01 1.497460e-03 1.497460e-03
9.500000e+00 10. 1.050000e+01 9.606657e-02 1.405850e-03 1.405850e-03
1.050000e+01 11. 1.150000e+01 7.493224e-02 1.292480e-03 1.292480e-03
1.150000e+01 12. 1.250000e+01 5.909681e-02 1.232500e-03 1.232500e-03
1.250000e+01 13. 1.350000e+01 4.563570e-02 1.122330e-03 1.122330e-03
1.350000e+01 14. 1.450000e+01 3.527183e-02 1.032700e-03 1.032700e-03
1.450000e+01 15. 1.550000e+01 2.760011e-02 9.568700e-04 9.568700e-04
1.550000e+01 16. 1.650000e+01 2.102748e-02 8.699100e-04 8.699100e-04
1.650000e+01 17. 1.750000e+01 1.598398e-02 7.865600e-04 7.865600e-04
1.750000e+01 18. 1.850000e+01 1.274114e-02 7.371200e-04 7.371200e-04
1.850000e+01 19. 1.950000e+01 9.589230e-03 6.567100e-04 6.567100e-04
1.950000e+01 20. 2.050000e+01 7.179730e-03 5.776000e-04 5.776000e-04
2.050000e+01 21. 2.150000e+01 5.421150e-03 5.088700e-04 5.088700e-04
2.150000e+01 22. 2.250000e+01 3.970330e-03 4.322800e-04 4.322800e-04
2.250000e+01 23. 2.350000e+01 2.989290e-03 3.723000e-04 3.723000e-04
2.350000e+01 24. 2.450000e+01 2.051180e-03 2.913100e-04 2.913100e-04
2.450000e+01 25. 2.550000e+01 1.645240e-03 8.861000e-05 8.861000e-05
2.550000e+01 26. 2.650000e+01 1.197350e-03 7.330000e-05 7.330000e-05
2.650000e+01 27. 2.750000e+01 8.649700e-04 6.044000e-05 6.044000e-05
2.750000e+01 28. 2.850000e+01 5.680700e-04 4.701000e-05 4.701000e-05
2.850000e+01 29. 2.950000e+01 4.435900e-04 4.087000e-05 4.087000e-05
2.950000e+01 31. 3.250000e+01 1.846000e-04 1.436000e-05 1.436000e-05
3.250000e+01 34. 3.550000e+01 7.521000e-05 8.680000e-06 8.680000e-06
3.550000e+01 37. 3.850000e+01 1.759000e-05 3.920000e-06 3.920000e-06
3.850000e+01 40. 4.150000e+01 9.460000e-06 2.820000e-06 2.820000e-06
# END HISTOGRAM

