# BEGIN PLOT
LogY=1
Title=$p_\perp$ distribution at $\sqrt{s} = 1800$ GeV
XLabel=$p_\perp$
YLabel=$E \, \mathrm{d}^3\sigma/\mathrm{d}p^3$
# END PLOT

# BEGIN HISTOGRAM /REF/CDF_1988_S1865951/d01-x01-y01
AidaPath=/REF/CDF_1988_S1865951/d01-x01-y01
Title=$p_\perp$ distribution at $\sqrt{s} = 1800$ GeV
XLabel=$p_\perp$
YLabel=$E \, \mathrm{d}^3\sigma/\mathrm{d}p^3$
PolyMarker=*
ErrorBars=1
## Area: 1.126242e+01
## Num bins: 49
## xlow  	xhigh   	val    	errminus	errplus
4.000000e-01 .425 4.500000e-01 4.183000e+01 3.200000e-01 3.200000e-01
4.500000e-01 .475 5.000000e-01 3.416000e+01 2.600000e-01 2.600000e-01
5.000000e-01 .525 5.500000e-01 2.713000e+01 2.200000e-01 2.200000e-01
5.500000e-01 .575 6.000000e-01 2.169000e+01 1.900000e-01 1.900000e-01
6.000000e-01 .625 6.500000e-01 1.759000e+01 1.600000e-01 1.600000e-01
6.500000e-01 .675 7.000000e-01 1.395000e+01 1.400000e-01 1.400000e-01
7.000000e-01 .725 7.500000e-01 1.144000e+01 1.200000e-01 1.200000e-01
7.500000e-01 .775 8.000000e-01 9.030000e+00 1.000000e-01 1.000000e-01
8.000000e-01 .825 8.500000e-01 7.650000e+00 9.000000e-02 9.000000e-02
8.500000e-01 .875 9.000000e-01 6.270000e+00 8.000000e-02 8.000000e-02
9.000000e-01 .925 9.500000e-01 5.130000e+00 7.000000e-02 7.000000e-02
9.500000e-01 .98125 1.012500e+00 4.300000e+00 6.000000e-02 6.000000e-02
1.012500e+00 1.05625 1.100000e+00 3.200000e+00 4.000000e-02 4.000000e-02
1.100000e+00 1.15 1.200000e+00 2.360000e+00 3.000000e-02 3.000000e-02
1.200000e+00 1.25 1.300000e+00 1.660000e+00 2.000000e-02 2.000000e-02
1.300000e+00 1.35 1.400000e+00 1.230000e+00 2.000000e-02 2.000000e-02
1.400000e+00 1.45 1.500000e+00 9.060000e-01 1.700000e-02 1.700000e-02
1.500000e+00 1.55 1.600000e+00 7.000000e-01 1.400000e-02 1.400000e-02
1.600000e+00 1.65 1.700000e+00 5.060000e-01 1.200000e-02 1.200000e-02
1.700000e+00 1.75 1.800000e+00 4.000000e-01 1.000000e-02 1.000000e-02
1.800000e+00 1.85 1.900000e+00 2.880000e-01 8.000000e-03 8.000000e-03
1.900000e+00 1.95 2.000000e+00 2.200000e-01 7.000000e-03 7.000000e-03
2.000000e+00 2.05 2.100000e+00 1.960000e-01 6.000000e-03 6.000000e-03
2.100000e+00 2.15 2.200000e+00 1.390000e-01 5.000000e-03 5.000000e-03
2.200000e+00 2.25 2.300000e+00 1.130000e-01 5.000000e-03 5.000000e-03
2.300000e+00 2.35 2.400000e+00 8.860000e-02 4.100000e-03 4.100000e-03
2.400000e+00 2.45 2.500000e+00 7.210000e-02 3.600000e-03 3.600000e-03
2.500000e+00 2.55 2.600000e+00 6.230000e-02 3.300000e-03 3.300000e-03
2.600000e+00 2.65 2.700000e+00 4.000000e-02 2.600000e-03 2.600000e-03
2.700000e+00 2.75 2.800000e+00 3.860000e-02 2.500000e-03 2.500000e-03
2.800000e+00 2.85 2.900000e+00 2.780000e-02 2.100000e-03 2.100000e-03
2.900000e+00 2.9625 3.025000e+00 2.630000e-02 2.000000e-03 2.000000e-03
3.025000e+00 3.1125 3.200000e+00 1.890000e-02 1.200000e-03 1.200000e-03
3.200000e+00 3.3 3.400000e+00 1.140000e-02 9.000000e-04 9.000000e-04
3.400000e+00 3.5 3.600000e+00 8.630000e-03 7.300000e-04 7.300000e-04
3.600000e+00 3.7 3.800000e+00 6.470000e-03 6.200000e-04 6.200000e-04
3.800000e+00 3.9 4.000000e+00 4.660000e-03 5.100000e-04 5.100000e-04
4.000000e+00 4.1 4.200000e+00 2.640000e-03 3.700000e-04 3.700000e-04
4.200000e+00 4.3 4.400000e+00 2.470000e-03 3.500000e-04 3.500000e-04
4.400000e+00 4.5 4.600000e+00 1.430000e-03 2.600000e-04 2.600000e-04
4.600000e+00 4.7 4.800000e+00 1.450000e-03 2.600000e-04 2.600000e-04
4.800000e+00 4.925 5.050000e+00 1.310000e-03 2.400000e-04 2.400000e-04
5.050000e+00 5.225 5.400000e+00 6.750000e-04 1.180000e-04 1.180000e-04
5.400000e+00 5.6 5.800000e+00 2.160000e-04 6.400000e-05 6.400000e-05
5.800000e+00 6. 6.200000e+00 3.140000e-04 7.500000e-05 7.500000e-05
6.200000e+00 6.4 6.600000e+00 1.390000e-04 4.900000e-05 4.900000e-05
6.600000e+00 6.875 7.150000e+00 1.450000e-04 4.800000e-05 4.800000e-05
7.150000e+00 7.7 8.250000e+00 5.870000e-05 1.840000e-05 1.840000e-05
8.250000e+00 9. 9.750000e+00 2.080000e-05 7.300000e-06 7.300000e-06
# END HISTOGRAM

